Table S1. Isolates and genomes used in this study.											
											
Identifier	Isolate name	Country of isolation	Date of isolation	Phylogenetic group	Sequence typea	Clonal complexb	Isolation source	Additional infection/isolation information	Population 	Additional infection/isolation information	NCBI Reference
7034	3382-2		9/18/14	A	10	ST10 Cplx	Broiler chicken		Asymptomatic carriage		This study
7035	3385-1		9/23/14	A	10	ST10 Cplx	Broiler chicken		Asymptomatic carriage		This study
7036	3385-2		9/23/14	B2	1618		Broiler chicken		Asymptomatic carriage		This study
7087	3269			B2	91		Broiler chicken	Meconium	Asymptomatic carriage		This study
7088	3270			B1	1431		Broiler chicken	Meconium	Asymptomatic carriage		This study
7089	3279			B2	1618		Broiler chicken	Systemic infection	Infection 		This study
7090	3370-1			B2	428		Broiler chicken	Peritonitis	Infection 		This study
7091	3370-2			B2	428		Broiler chicken	Peritonitis	Infection 		This study
7092	3391			B2	7804		Broiler chicken	Intestine	Asymptomatic carriage		This study
7093	3394-1			B1	1049		Broiler chicken	Yolk Sac Infection	Infection 		This study
7094	3394-2			B1	1049		Broiler chicken	Yolk Sac Infection	Infection 		This study
7095	3398			B1	162	ST469 Cplx	Broiler chicken	faeces	Asymptomatic carriage		This study
7096	3399			B2	1852		Broiler chicken	Peritonitis	Infection 		This study
7097	3400			B1	162	ST469 Cplx	Broiler chicken	faeces	Asymptomatic carriage		This study
7098	3401			B1	297		Broiler chicken	Meconium	Asymptomatic carriage		This study
7099	3403			A	10	ST10 Cplx	Broiler chicken	faeces	Asymptomatic carriage		This study
7100	3405			B2			Broiler chicken	yolk sac	Infection 		This study
